mepan_mepid,Groep,Parameter,Eenheid,Hoedanigheid,Berekening,Norm,Year,KRW_Value,mepan,mepid,X,Y
oDE_AA_600 (900003),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oDE_AA_600,900003,164680.73,404406.63
oDE_AA_630 (900001),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.29,oDE_AA_630,900001,163140.89,405257.16
oDE_AA_680 (140216),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.27,oDE_AA_680,140216,160181.613,406573.048
oDE_AA_750 (900006),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.25,oDE_AA_750,900006,156613,408271
oDE_AA_860 (143211),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.23,oDE_AA_860,143211,151019.494,411557.848
oDEBERG000 (145620),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oDEBERG000,145620,183954,405839
oDEKUIL001 (345571),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.01,oDEKUIL001,345571,179782,412469
oDEVILT006 (140632),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oDEVILT006,140632,192729,410453
oDEVILT007 (140634),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oDEVILT007,140634,192276,410077
oDIEKLP006 (900320),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oDIEKLP006,900320,169744,424563
oDIEPLO250 (140229),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.5,oDIEPLO250,140229,178497,372038
oDIEPLO550 (140227),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oDIEPLO550,140227,179054.878,373129.503
oDIERBO000 (145590),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oDIERBO000,145590,157890,413041
oDIERBO002 (145592),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oDIERBO002,145592,157965,412968
oDIEZE_400 (149474),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.21,oDIEZE_400,149474,147266,414305
oDIEZE_550 (340405),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.16,oDIEZE_550,340405,147094,414719
oDIEZE_900 (342420),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.26,oDIEZE_900,342420,147111,416102
oDONVLO880 (140264),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oDONVLO880,140264,170522.077,395540.842
oDRONKA100 (990772),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oDRONKA100,990772,148417,410395
oDRONKA110 (900184),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oDRONKA110,900184,148261,410235
oDRONKA310 (342408),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oDRONKA310,342408,144490,409070
oDRONKA400 (342406),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oDRONKA400,342406,142350,408980
oDRONKA750 (140367),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oDRONKA750,140367,134427,412729
oDRONKA820 (342407),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.3,oDRONKA820,342407,133371,413851
oDUNGLO100 (900016),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.13,oDUNGLO100,900016,155862,405087
oEESSEN100 (140829),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oEESSEN100,140829,183792,391132
oEEUWLO130 (140228),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oEEUWLO130,140228,187037.482,373341.756
oEEUWLO200 (140403),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oEEUWLO200,140403,187640,373708
oEEUWLO700 (140221),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oEEUWLO700,140221,181998,375463
oEINDKA150 (144305),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oEINDKA150,144305,171985,384926
oELSEDO000 (145560),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.01,oELSEDO000,145560,182058,398731
oENGEME100 (140410),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.03,2016,,oENGEME100,140410,145226,413448
oENGEOO000 (345605),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.03,2016,,oENGEOO000,345605,145241.977,412830.28
oENGEWE000 (345606),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.03,2016,,oENGEWE000,345606,145159.296,412616.72
oESPELO820 (140258),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oESPELO820,140258,176626.1,392653.3
oGANZVE000 (349757),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oGANZVE000,349757,169500,419000
oGEFFPL000 (345550),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oGEFFPL000,345550,162780.764,416955.674
oGEFFPL001 (345551),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oGEFFPL001,345551,162318,416682
oGOORLO210 (900238),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.32,oGOORLO210,900238,171947,382730
oGOORLO217 (149047),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oGOORLO217,149047,172115,382663
oGOORLO420 (900191),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oGOORLO420,900191,172046,388117
oGOORLO520 (140268),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.19,oGOORLO520,140268,170663,390401
oGOORLO590 (149418),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oGOORLO590,149418,170893,392167
oGOORLO670 (149419),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.21,oGOORLO670,149419,171099.839,394062.672
oGOORLO690 (140262),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oGOORLO690,140262,171028.807,394496.334
oGOORLO740 (900020),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.22,oGOORLO740,900020,170809,395925
oGOORLO900 (140263),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,,oGOORLO900,140263,168096.796,399616.086
oGRAARA100 (341427),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.062,oGRAARA100,341427,179511.142,416981.16
oGROHEI000 (145630),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oGROHEI000,145630,176445,391155
oGROOWE220 (143292),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.056,oGROOWE220,143292,169661.742,411482.466
oGROOWE320 (140299),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.03,oGROOWE320,140299,167461.064,411523.094
oGROOWE460 (900022),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.084,oGROOWE460,900022,164007.361,412786.091
oGROOWE550 (140296),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oGROOWE550,140296,162271.277,413056.997
oGROOWE650 (140292),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.065,oGROOWE650,140292,159616.447,412419.302
oGROOWE690 (140391),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.29,oGROOWE690,140391,158682.6,412417.1
oGROOWE890 (140293),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.17,oGROOWE890,140293,152830.384,411969.634
oGROOWI000 (145610),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oGROOWI000,145610,153329,416359
oGROOWI001 (140300),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oGROOWI001,140300,152712,416136
oGULDAA790 (140259),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.17,oGULDAA790,140259,173511,390572
oHALSBE570 (341429),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.067,oHALSBE570,341429,177831.119,415100.47
oHARTGR000 (345540),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHARTGR000,345540,172078,415348
oHAZELO400 (140645),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHAZELO400,140645,164330,405618
oHEDIMA540 (343502),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.081,oHEDIMA540,343502,141315,415213
oHEESOM320 (342405),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.1,oHEESOM320,342405,136958.06,415855.406
oHEINWI008 (349733),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHEINWI008,349733,150695,413285
oHEINWI009 (349734),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHEINWI009,349734,150540,413288
oHEISTI000 (345525),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHEISTI000,345525,173631.428,411855.53
oHEMELR000 (145571),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHEMELR000,145571,174970,405380
oHERPWI000 (349743),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHERPWI000,349743,173896,420269
oHERTWE000 (900025),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oHERTWE000,900025,173889.111,420838.671
oHERTWE100 (140423),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oHERTWE100,140423,178623,419121
oHERTWE250 (340439),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHERTWE250,340439,174157.446,420075.678
oHERTWE480 (900193),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oHERTWE480,900193,165804,422545
oHERTWE570 (340449),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oHERTWE570,340449,163617,422883
oHERTWE610 (340435),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oHERTWE610,340435,162472.4,422067.5
oHERTWE690 (340438),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.33,oHERTWE690,340438,159993,420282
oHERTWE880 (340436),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oHERTWE880,340436,153400,418120
oHERTWE900 (343430),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.2,oHERTWE900,343430,152869,418370
oHOEFGR900 (340442),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,,oHOEFGR900,340442,153115.055,417438.624
oHOOGRA440 (341430),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oHOOGRA440,341430,177245,415202
oHOOGRA660 (900026),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oHOOGRA660,900026,178667,416016
oHOOGRA860 (341426),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.043,oHOOGRA860,341426,179414,416469
oJANSBE880 (340412),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.057,oJANSBE880,340412,195782.666,405831.11
oKADEUR110 (140234),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oKADEUR110,140234,190256.355,375373.671
oKAMEVE000 (145802),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.057,oKAMEVE000,145802,167881.537,389642.153
oKAWELO300 (900033),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.19,oKAWELO300,900033,185783,390171
oKAWELO740 (140243),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oKAWELO740,140243,179423,388530
oKIEVLO100 (900105),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oKIEVLO100,900105,179076.87,370896.63
oKIEVLO200 (140220),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oKIEVLO200,140220,179033.224,371217.852
oKLEIAA400 (900185),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.28,oKLEIAA400,900185,176093,376786
oKLEIAA890 (140225),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.17,oKLEIAA890,140225,176750,380913
oKLEIAA891 (900034),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.17,oKLEIAA891,900034,176750,380914
oKLEIWE900 (140294),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.23,oKLEIWE900,140294,155985.929,413270.953
oKLOTPE000 (145804),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.067,oKLOTPE000,145804,183696.9,394339.4
oKLVILT002 (140672),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oKLVILT002,140672,191737,411221
oKONIVL800 (342410),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2016,0.14,oKONIVL800,342410,134459.463,413199.906
oLAARWL260 (900038),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oLAARWL260,900038,190057,411621
oLAARWL300 (900195),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLAARWL300,900195,189487,412013
oLAARWL430 (349100),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.077,oLAARWL430,349100,188396,412358
oLAARWL750 (900037),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.067,oLAARWL750,900037,185197,413132
oLACTBE130 (341413),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLACTBE130,341413,190335,397095.5
oLACTBE800 (900247),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.076,oLACTBE800,900247,192152,402066
oLACTBE880 (900190),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.22,oLACTBE880,900190,191704,402797
oLAGERA250 (999969),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.085,oLAGERA250,999969,187277.586,408358.502
oLAGERA350 (140396),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLAGERA350,140396,185449,409855
oLAGERA370 (340429),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLAGERA370,340429,185026.601,410372.842
oLAGERA401 (140812),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLAGERA401,140812,184681,411200
oLAGERA490 (341420),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLAGERA490,341420,183631.73,412742.809
oLAGERA520 (340520),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.065,oLAGERA520,340520,182994.52,413094.59
oLAGERA600 (185089),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLAGERA600,185089,181993,413566
oLAGERA830 (900028),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oLAGERA830,900028,179543,418994
oLANDLO780 (140256),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.22,oLANDLO780,140256,174485.093,399397.734
oLEDEBE740 (340426),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLEDEBE740,340426,188856.127,405026.987
oLEIJGR330 (900180),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLEIJGR330,900180,169323,406905
oLEIJGR405 (140437),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oLEIJGR405,140437,169377,406570
oLEIJGR440 (140272),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oLEIJGR440,140272,168851.331,407575.966
oLEIJGR620 (149405),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oLEIJGR620,149405,164398.986,406912.085
oLEIJGR650 (149427),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oLEIJGR650,149427,163730.46,407230.21
oLEIJGR840 (147273),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.17,oLEIJGR840,147273,158824.42,408432.452
oLITHAS630 (340453),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.14,oLITHAS630,340453,158216.748,424010.116
oLOKAGO800 (143273),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.039,oLOKAGO800,143273,171559.44,404535.878
