mepan_mepid,Groep,Parameter,Eenheid,Hoedanigheid,Berekening,Norm,Year,KRW_Value,mepan,mepid,X,Y
oVVDEUR004 (900123),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2017,,oVVDEUR004,900123,182738,384458
oVVRADI001 (900248),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2017,,oVVRADI001,900248,191660,401986
oWAMBBE750 (140291),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2017,,oWAMBBE750,140291,153882.815,411797.334
oWAMBBE830 (140295),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2017,0.15,oWAMBBE830,140295,153321.661,411979.655
oWILHKA100 (900071),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2017,0.22,oWILHKA100,900071,167074,391412
oZANDPL000 (345615),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2017,,oZANDPL000,345615,136129.962,410103.164
oZANHLO800 (140270),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2017,0.025,oZANHLO800,140270,173448.845,400519.49
oZUIDWV780 (144303),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.25,2017,0.13,oZUIDWV780,144303,153673.053,410229.513
oZUIDWV850 (149735),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.25,2017,,oZUIDWV850,149735,149579,411412
oZUIDWV900 (149733),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.25,2017,,oZUIDWV900,149733,149162,411699
,,,,,,,2017,,,,,
"Applied filters:
Compartiment is AW
Parametergroep is NUTRIENT
naam is fosfor totaal-P (mg/l) (totaal)",,,,,,,2017,,,,,
oAFSLSC500 (340462),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.046,oAFSLSC500,340462,173691.925,419577.858
oANTHLO810 (340409),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.062,oANTHLO810,340409,185401.708,411550.789
oASTEAA330 (140231),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oASTEAA330,140231,187499.162,376411.467
oASTEAA470 (140236),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oASTEAA470,140236,185849.591,379207.263
oASTEAA580 (140238),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oASTEAA580,140238,181975,381248
oASTEAA590 (140813),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oASTEAA590,140813,181160,382250
oASTEAA860 (140233),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.2,oASTEAA860,140233,178016.335,383343.122
oBAKEAA100 (140244),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oBAKEAA100,140244,177630,389080
oBAKEAA400 (900183),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.11,oBAKEAA400,900183,176880,389883
oBAKEPL004 (900167),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oBAKEPL004,900167,182220,392304
oBEEKGR460 (900009),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,,oBEEKGR460,900009,168354.99,403226.57
oBEEKGR800 (990224),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.11,oBEEKGR800,990224,165130,405190
oBEEKGR880 (140274),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.82,oBEEKGR880,140274,164725,404759
oBEEKLO890 (140223),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.085,oBEEKLO890,140223,177192.928,381477.022
oBERKEN003 (185104),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oBERKEN003,185104,178190,387189
oBERKLO100 (140827),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oBERKLO100,140827,182569,391022
oBIEZLO400 (900079),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,,oBIEZLO400,900079,165021.65,399092.91
oBIEZLO850 (140289),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.14,oBIEZLO850,140289,161139.881,405128.4
oBOEKVE000 (145550),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oBOEKVE000,145550,176393,400425
oBOSSSL870 (343521),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.29,oBOSSSL870,343521,143666.4,409502.6
oBROEWI004 (349747),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oBROEWI004,349747,181050,415700
oBUITLO300 (900187),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.18,oBUITLO300,900187,142305,414226
oCAMPBE200 (149741),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oCAMPBE200,149741,199654,396788
oCAMPBE700 (149742),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oCAMPBE700,149742,199920,397401
oDE_AA_004 (149350),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_004,149350,157055,407520
oDE_AA_100 (140210),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.69,oDE_AA_100,140210,180942.404,371640.71
oDE_AA_150 (143212),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.42,oDE_AA_150,143212,180193.8,374255.2
oDE_AA_155 (900186),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.34,oDE_AA_155,900186,180021,375068
oDE_AA_160 (140377),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_160,140377,179766,375763
oDE_AA_190 (140308),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.33,oDE_AA_190,140308,179688,378074
oDE_AA_210 (149409),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.78,oDE_AA_210,149409,178779,378709
oDE_AA_240 (140212),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_240,140212,176974.8,380889
oDE_AA_300 (140316),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_300,140316,176612,383153
oDE_AA_330 (140213),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.22,oDE_AA_330,140213,176059,386045
oDE_AA_331 (900080),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_331,900080,176309,383604
oDE_AA_370 (149395),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_370,149395,174973.893,390110.156
oDE_AA_400 (149394),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.21,oDE_AA_400,149394,173650,390877
oDE_AA_410 (140218),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.31,oDE_AA_410,140218,173550.497,391606.784
oDE_AA_430 (145611),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_430,145611,172952,392829
oDE_AA_440 (140214),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.31,oDE_AA_440,140214,172892,393466
oDE_AA_445 (140422),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_445,140422,172769,397123
oDE_AA_500 (140219),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.22,oDE_AA_500,140219,169471.081,400470.774
oDE_AA_600 (900003),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_600,900003,164680.73,404406.63
oDE_AA_630 (900001),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.36,oDE_AA_630,900001,163140.89,405257.16
oDE_AA_680 (140216),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.26,oDE_AA_680,140216,160181.613,406573.048
oDE_AA_750 (900006),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDE_AA_750,900006,156613,408271
oDE_AA_860 (143211),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.18,oDE_AA_860,143211,151019.494,411557.848
oDEBERG000 (145620),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.025,oDEBERG000,145620,183954,405839
oDEKUIL001 (345571),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oDEKUIL001,345571,179782,412469
oDEVILT006 (140632),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.078,oDEVILT006,140632,192729,410453
oDEVILT007 (140634),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.041,oDEVILT007,140634,192276,410077
oDIEKLP006 (900320),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.04,oDIEKLP006,900320,169744,424563
oDIEPLO250 (140229),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.29,oDIEPLO250,140229,178497,372038
oDIEPLO550 (140227),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDIEPLO550,140227,179054.878,373129.503
oDIERBO000 (145590),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.1,oDIERBO000,145590,157890,413041
oDIERBO002 (145592),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oDIERBO002,145592,157965,412968
oDIEZE_400 (149474),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.11,oDIEZE_400,149474,147266,414305
oDIEZE_550 (340405),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oDIEZE_550,340405,147094,414719
oDIEZE_900 (342420),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.3,oDIEZE_900,342420,147111,416102
oDONVLO880 (140264),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.074,oDONVLO880,140264,170522.077,395540.842
oDRONKA100 (990772),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.25,oDRONKA100,990772,148417,410395
oDRONKA110 (900184),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oDRONKA110,900184,148261,410235
oDRONKA310 (342408),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oDRONKA310,342408,144490,409070
oDRONKA400 (342406),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oDRONKA400,342406,142350,408980
oDRONKA750 (140367),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oDRONKA750,140367,134427,412729
oDRONKA820 (342407),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.19,oDRONKA820,342407,133371,413851
oDUNGLO100 (900016),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.11,oDUNGLO100,900016,155862,405087
oEESSEN100 (140829),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oEESSEN100,140829,183792,391132
oEEUWLO130 (140228),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oEEUWLO130,140228,187037.482,373341.756
oEEUWLO200 (140403),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.31,oEEUWLO200,140403,187640,373708
oEEUWLO700 (140221),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.77,oEEUWLO700,140221,181998,375463
oEINDKA150 (144305),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oEINDKA150,144305,171985,384926
oELSEDO000 (145560),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oELSEDO000,145560,182058,398731
oENGEME100 (140410),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.03,2018,,oENGEME100,140410,145226,413448
oENGEOO000 (345605),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.03,2018,,oENGEOO000,345605,145241.977,412830.28
oENGEWE000 (345606),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.03,2018,,oENGEWE000,345606,145159.296,412616.72
oESPELO820 (140258),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oESPELO820,140258,176626.1,392653.3
oGANZVE000 (349757),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oGANZVE000,349757,169500,419000
oGEFFPL000 (345550),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.01,oGEFFPL000,345550,162780.764,416955.674
oGEFFPL001 (345551),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.01,oGEFFPL001,345551,162318,416682
oGOORLO210 (900238),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.23,oGOORLO210,900238,171947,382730
oGOORLO217 (149047),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,1.4,oGOORLO217,149047,172115,382663
oGOORLO420 (900191),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.14,oGOORLO420,900191,172046,388117
oGOORLO520 (140268),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.13,oGOORLO520,140268,170663,390401
oGOORLO590 (149418),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.24,oGOORLO590,149418,170893,392167
oGOORLO670 (149419),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.27,oGOORLO670,149419,171099.839,394062.672
oGOORLO690 (140262),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.22,oGOORLO690,140262,171028.807,394496.334
oGOORLO740 (900020),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.19,oGOORLO740,900020,170809,395925
oGOORLO900 (140263),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,,oGOORLO900,140263,168096.796,399616.086
oGRAARA100 (341427),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.083,oGRAARA100,341427,179511.142,416981.16
oGROHEI000 (145630),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oGROHEI000,145630,176445,391155
oGROOWE220 (143292),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oGROOWE220,143292,169661.742,411482.466
oGROOWE320 (140299),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.033,oGROOWE320,140299,167461.064,411523.094
oGROOWE460 (900022),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oGROOWE460,900022,164007.361,412786.091
oGROOWE550 (140296),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.27,oGROOWE550,140296,162271.277,413056.997
oGROOWE650 (140292),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.28,oGROOWE650,140292,159616.447,412419.302
oGROOWE690 (140391),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.38,oGROOWE690,140391,158682.6,412417.1
oGROOWE890 (140293),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.16,oGROOWE890,140293,152830.384,411969.634
oGROOWI000 (145610),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.01,oGROOWI000,145610,153329,416359
oGROOWI001 (140300),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oGROOWI001,140300,152712,416136
oGULDAA790 (140259),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.19,oGULDAA790,140259,173511,390572
oHALSBE570 (341429),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oHALSBE570,341429,177831.119,415100.47
oHARTGR000 (345540),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oHARTGR000,345540,172078,415348
oHAZELO400 (140645),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oHAZELO400,140645,164330,405618
oHEDIMA540 (343502),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.15,oHEDIMA540,343502,141315,415213
oHEESOM320 (342405),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.088,oHEESOM320,342405,136958.06,415855.406
oHEINWI008 (349733),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oHEINWI008,349733,150695,413285
oHEINWI009 (349734),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oHEINWI009,349734,150540,413288
oHEISTI000 (345525),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oHEISTI000,345525,173631.428,411855.53
oHEMELR000 (145571),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oHEMELR000,145571,174970,405380
oHERPWI000 (349743),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oHERPWI000,349743,173896,420269
oHERTWE000 (900025),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oHERTWE000,900025,173889.111,420838.671
oHERTWE100 (140423),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oHERTWE100,140423,178623,419121
oHERTWE250 (340439),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.061,oHERTWE250,340439,174157.446,420075.678
oHERTWE480 (900193),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.068,oHERTWE480,900193,165804,422545
oHERTWE570 (340449),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oHERTWE570,340449,163617,422883
oHERTWE610 (340435),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oHERTWE610,340435,162472.4,422067.5
oHERTWE690 (340438),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.27,oHERTWE690,340438,159993,420282
oHERTWE880 (340436),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oHERTWE880,340436,153400,418120
oHERTWE900 (343430),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.35,oHERTWE900,343430,152869,418370
oHOEFGR900 (340442),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,,oHOEFGR900,340442,153115.055,417438.624
oHOOGRA440 (341430),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oHOOGRA440,341430,177245,415202
oHOOGRA660 (900026),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oHOOGRA660,900026,178667,416016
oHOOGRA860 (341426),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.052,oHOOGRA860,341426,179414,416469
oJANSBE880 (340412),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.029,oJANSBE880,340412,195782.666,405831.11
oKADEUR110 (140234),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.16,oKADEUR110,140234,190256.355,375373.671
oKAMEVE000 (145802),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oKAMEVE000,145802,167881.537,389642.153
oKAWELO300 (900033),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oKAWELO300,900033,185783,390171
oKAWELO740 (140243),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oKAWELO740,140243,179423,388530
oKIEVLO100 (900105),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.4,oKIEVLO100,900105,179076.87,370896.63
oKIEVLO200 (140220),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.47,oKIEVLO200,140220,179033.224,371217.852
oKLEIAA400 (900185),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oKLEIAA400,900185,176093,376786
oKLEIAA890 (140225),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.086,oKLEIAA890,140225,176750,380913
oKLEIAA891 (900034),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oKLEIAA891,900034,176750,380914
oKLEIWE900 (140294),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.095,oKLEIWE900,140294,155985.929,413270.953
oKLOTPE000 (145804),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oKLOTPE000,145804,183696.9,394339.4
oKLVILT002 (140672),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.38,oKLVILT002,140672,191737,411221
oKONIVL800 (342410),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.15,2018,0.22,oKONIVL800,342410,134459.463,413199.906
oLAARWL260 (900038),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oLAARWL260,900038,190057,411621
oLAARWL300 (900195),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.2,oLAARWL300,900195,189487,412013
oLAARWL430 (349100),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.15,oLAARWL430,349100,188396,412358
oLAARWL750 (900037),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oLAARWL750,900037,185197,413132
oLACTBE130 (341413),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.72,oLACTBE130,341413,190335,397095.5
oLACTBE800 (900247),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oLACTBE800,900247,192152,402066
oLACTBE880 (900190),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.15,oLACTBE880,900190,191704,402797
oLAGERA250 (999969),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.061,oLAGERA250,999969,187277.586,408358.502
oLAGERA350 (140396),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,1.3,oLAGERA350,140396,185449,409855
oLAGERA370 (340429),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,9.9,oLAGERA370,340429,185026.601,410372.842
oLAGERA401 (140812),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,3.5,oLAGERA401,140812,184681,411200
oLAGERA490 (341420),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,2.2,oLAGERA490,341420,183631.73,412742.809
oLAGERA520 (340520),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.064,oLAGERA520,340520,182994.52,413094.59
oLAGERA600 (185089),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.054,oLAGERA600,185089,181993,413566
oLAGERA830 (900028),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.091,oLAGERA830,900028,179543,418994
oLANDLO780 (140256),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.088,oLANDLO780,140256,174485.093,399397.734
oLEDEBE740 (340426),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.075,oLEDEBE740,340426,188856.127,405026.987
oLEIJGR330 (900180),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oLEIJGR330,900180,169323,406905
oLEIJGR405 (140437),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oLEIJGR405,140437,169377,406570
oLEIJGR440 (140272),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oLEIJGR440,140272,168851.331,407575.966
oLEIJGR620 (149405),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oLEIJGR620,149405,164398.986,406912.085
oLEIJGR650 (149427),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oLEIJGR650,149427,163730.46,407230.21
oLEIJGR840 (147273),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.19,oLEIJGR840,147273,158824.42,408432.452
oLITHAS630 (340453),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.12,oLITHAS630,340453,158216.748,424010.116
oLOKAGO800 (143273),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.054,oLOKAGO800,143273,171559.44,404535.878
oLOONVA100 (342136),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.29,oLOONVA100,342136,137789,409150
oLORRGR700 (343515),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.2,oLORRGR700,343515,155708,420490
oLUISWE300 (342401),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.11,oLUISWE300,342401,144655.832,415170.094
oMAHOGR000 (345531),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oMAHOGR000,345531,170223,415715
oMAHOKL000 (345530),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oMAHOKL000,345530,170214,415797
oMAXIMA001 (990193),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oMAXIMA001,990193,151242,416842
oMAXIMA003 (990195),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oMAXIMA003,990195,151320,416645
oMOBRLO250 (900070),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.12,oMOBRLO250,900070,180986.99,395098.07
oMOERPU000 (349701),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.13,oMOERPU000,349701,145642,410906
oMOLEHL220 (140283),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oMOLEHL220,140283,159457.23,405230.955
oMOLEHL500 (140327),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oMOLEHL500,140327,157556,405821
oMUNSWE500 (343514),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2018,0.075,oMUNSWE500,343514,171508,418713
oMUNVEN000 (349756),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oMUNVEN000,349756,168500,417400
oNIEUWI000 (345610),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oNIEUWI000,345610,141168.913,411130.045
oOEFFRA200 (340413),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.033,oOEFFRA200,340413,195586.725,401455.619
oOEFFRA400 (900192),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oOEFFRA400,900192,193283,404415
oOEFFRA710 (900042),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,,oOEFFRA710,900042,191999,410935
oOEFFRA850 (340415),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2018,0.059,oOEFFRA850,340415,193439,413055
oOIJEWI000 (140314),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oOIJEWI000,140314,163510,425846
oOOSTAP001 (145502),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,,oOOSTAP001,145502,179294.265,382069.79
oOOSTPL000 (345600),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2018,0.02,oOOSTPL000,345600,151799.337,410899.833
